Code ALF;Statut;Libellé ALF;Libellé Commercial;Texte Commercial;Famille;Type de produit;Conclusion;Univers;Marché;Code Mercure;Code ADV;Code VAD;Engagement;Jour de facturation;Tarif;Date de fin;Non affiché;Score CRM;CGV;Type de commande
IR137833;C;PCM : Smartphones Google Pixel 10 Pro;PCM : Smartphones Google Pixel 10 Pro;;Terminaux mobiles;Produits;;Internet;R;;;;;0;;;0;;;Mobile
IR137834;C;PCM : Smartphones Google Pixel 10 Pro XL;PCM : Smartphones Google Pixel 10 Pro XL;;Terminaux mobiles;Produits;;Internet;R;;;;;0;;;0;;;Mobile
IR137837;C;Remise Livebox -10 eur pendant 12 mois (MdM iso offre) (MD);Remise Livebox -10 eur pendant 12 mois;Vous bénéficiez d'une remise exceptionnelle de 10,00 euros par mois pendant 12 mois.;Avantages (migration);Options;;Internet;R;;;;;0;-10,00 eur/mois pendant 12 mois;;0;;;Internet
IR137838;C;Remise Open -5 eur pendant 12 mois (MdM iso offre) (MD);Remise Open -5 eur pendant 12 mois;Vous bénéficiez d'une remise exceptionnelle de 5,00 euros par mois pendant 12 mois.;Avantages (migration);Options;;Internet;R;;;;;0;-5,00 eur/mois pendant 12 mois;;0;;;Mobile
IR137839;C;Remise Open -10 eur pendant 12 mois (MdM iso offre) (MD);Remise Open -10 eur pendant 12 mois;Vous bénéficiez d'une remise exceptionnelle de 10,00 euros par mois pendant 12 mois.;Avantages (migration);Options;;Internet;R;;;;;0;-10,00 eur/mois pendant 12 mois;;0;;;Mobile
IR137840;C;FM Série 110 Go 5G SIM (mig) (Rétention MD);Forfait Mobile Série 110 Go compatible 5G, sans engagement;Forfait sans mobile associé, sans engagement.\r\n\r\nAppels, SMS et MMS illimités en France et depuis les zones Europe, DOM, Suisse/Andorre vers ces zones et la France.\r\nOffre accessible en France métropolitaine sous réserve d'éligibilité pour toute commande confirmée entre le 21/08/2025 au 08/10/2025.;Forfait Mobile Orange (migration);Offres;;Internet;R;;;;;0;18,99 eur/mois;;0;;RC_Forfait_Serie_110Go.pdf;Mobile
IR137841;C;FMR Série 110 Go 5G SIM (mig) (Rétention MD);Forfait Mobile Remisé Série 110 Go compatible 5G, sans engagement;Forfait sans mobile associé, sans engagement.\r\n\r\nAppels, SMS et MMS illimités en France et depuis les zones Europe, DOM, Suisse/Andorre vers ces zones et la France.\r\nOffre accessible en France métropolitaine sous réserve d'éligibilité pour toute commande confirmée entre le 21/08/2025 au 08/10/2025.;Forfait Mobile Orange Remisé (migration);Offres;;Internet;R;;;;;0;13,99 eur/mois;;0;;RC_Forfait_Serie_110Go.pdf;Mobile
IR137842;C;PCM : Smartphones iPhone 17;PCM : Smartphones iPhone 17;;Terminaux mobiles;Produits;;Internet;R;;;;;0;;;0;;;Mobile
IR137843;C;PCM : Smartphones iPhone Air;PCM : Smartphones iPhone Air;;Terminaux mobiles;Produits;;Internet;R;;;;;0;;;0;;;Mobile
IR137844;C;PCM : Smartphones iPhone 17 Pro;PCM : Smartphones iPhone 17 Pro;;Terminaux mobiles;Produits;;Internet;R;;;;;0;;;0;;;Mobile
IR137845;C;PCM : Smartphones iPhone 17 Pro Max;PCM : Smartphones iPhone 17 Pro Max;;Terminaux mobiles;Produits;;Internet;R;;;;;0;;;0;;;Mobile
IR137846;C;Décodeur TV 6 : remise frais échange 10 eur;Remise de 10 euros sur frais d'échange pour le décodeur TV 6;;Remise;Information;;Internet;R;;;;;0;-10,00 eur;;0;;;Internet
IR137847;C;Frais échange Livebox S (0 eur);Frais d'échange offerts pour une Livebox S;;Frais matériels;Options;;Internet;R;;;;;0;0,00 eur;;0;;;Internet
IR137848;C;Offre Série Spéciale Livebox Max xDSL (mig) (MD);Offre Série Spéciale Livebox xDSL;Internet + téléphone par internet (ligne Livebox) illimité :\r\n- vers les fixes de France métropolitaine, DOM et plus de 100 destinations,\r\n- vers les mobiles USA et Canada.\r\n\r\nRetrouvez le détail de votre offre dont la liste des destinations dans la fiche d'information jointe à cet email.\r\n\r\n* Location Livebox incluse : 3,00 eur/mois\r\nOffre accessible en France métropolitaine sous réserve d'éligibilité pour toute commande confirmée entre le 21/08/2025 au 08/10/2025.;Offre Série Spéciale Livebox xDSL (migration);Offres;;Internet;R;;;;;0;49,99 eur/mois*;;0;;RC_Offre_SS_Livebox_xDSL.pdf;Internet
